game_id,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,opp_id,opp_fran,elo_i,opp_elo_i,game_result
199911200DEN,2000,11/20/1999,9,0,DEN,Nuggets,CHI,Bulls,1353.7362,1342.3395,W
199911200GSW,2000,11/20/1999,9,0,GSW,Warriors,NYK,Knicks,1398.8933,1572.078,L
199911200MIA,2000,11/20/1999,10,0,MIA,Heat,BOS,Celtics,1602.5591,1490.9153,W
199911200MIL,2000,11/20/1999,10,0,MIL,Bucks,UTA,Jazz,1551.7252,1587.3191,L
199911200NJN,2000,11/20/1999,10,0,NJN,Nets,PHI,Sixers,1406.8517,1532.9396,L
199911200SAS,2000,11/20/1999,11,0,SAS,Spurs,DAL,Mavericks,1694.3733,1448.1117,W
199911200SEA,2000,11/20/1999,11,0,SEA,Thunder,HOU,Rockets,1529.3224,1465.1812,W
199911200WAS,2000,11/20/1999,10,0,WAS,Wizards,LAC,Clippers,1396.9226,1334.2493,L
199911210DET,2000,11/21/1999,11,0,DET,Pistons,MIL,Bucks,1538.052,1537.9879,W
199911210LAL,2000,11/21/1999,12,0,LAL,Lakers,TOR,Raptors,1564.4764,1496.0663,L
199911210PHO,2000,11/21/1999,11,0,PHO,Suns,SEA,Thunder,1550.9939,1532.0889,W
199911210SAC,2000,11/21/1999,8,0,SAC,Kings,HOU,Rockets,1531.0769,1462.4147,W
199911210VAN,2000,11/21/1999,9,0,VAN,Grizzlies,MIN,Timberwolves,1300.8844,1489.2393,L
199911220BOS,2000,11/22/1999,11,0,BOS,Celtics,IND,Pacers,1484.9697,1618.6566,W
199911220PHI,2000,11/22/1999,12,0,PHI,Sixers,SAS,Spurs,1538.6704,1697.0135,L
199911220UTA,2000,11/22/1999,11,0,UTA,Jazz,MIN,Timberwolves,1601.0564,1502.3019,W
199911230ATL,2000,11/23/1999,11,0,ATL,Hawks,MIA,Heat,1499.5487,1608.5046,W
199911230CLE,2000,11/23/1999,10,0,CLE,Cavaliers,POR,Trailblazers,1466.8146,1635.2454,W
199911230HOU,2000,11/23/1999,13,0,HOU,Rockets,DAL,Mavericks,1459.0079,1445.4714,W
199911230LAC,2000,11/23/1999,11,0,LAC,Clippers,NYK,Knicks,1350.3267,1578.3757,W
199911230PHO,2000,11/23/1999,12,0,PHO,Suns,TOR,Raptors,1558.4961,1512.3782,W
199911230SAC,2000,11/23/1999,9,0,SAC,Kings,NJN,Nets,1534.4836,1401.1208,W
199911230WAS,2000,11/23/1999,11,0,WAS,Wizards,VAN,Grizzlies,1380.8452,1287.8218,W
199911240BOS,2000,11/24/1999,12,0,BOS,Celtics,SAS,Spurs,1496.6655,1701.4663,L
